Ticker,announcement date,period end,estimate,report,surprise,% surprise
HLT,23-Oct-19,19-Sep,$1.02 ,$1.05 ,0.03,2.9
HST,5-Nov-19,19-Sep,$0.34 ,$0.35 ,0.01,2.9
PAYX,2-Oct-19,19-Aug,$0.69 ,$0.71 ,0.02,2.9
SHW,22-Oct-19,19-Sep,$6.46 ,$6.65 ,0.19,2.9
BLK,15-Oct-19,19-Sep,$6.95 ,$7.15 ,0.2,2.8
CTSH,30-Oct-19,19-Sep,$1.05 ,$1.08 ,0.03,2.8
V,24-Oct-19,19-Sep,$1.43 ,$1.47 ,0.04,2.8
EFX,23-Oct-19,19-Sep,$1.44 ,$1.48 ,0.04,2.7
FITB,22-Oct-19,19-Sep,$0.73 ,$0.75 ,0.02,2.7
ALB,6-Nov-19,19-Sep,$1.49 ,$1.53 ,0.04,2.6
BSX,23-Oct-19,19-Sep,$0.38 ,$0.39 ,0.01,2.6
GD,23-Oct-19,19-Sep,$3.06 ,$3.14 ,0.08,2.6
GIS,18-Sep-19,19-Aug,$0.77 ,$0.79 ,0.02,2.6
JCI,7-Nov-19,19-Sep,$0.76 ,$0.78 ,0.02,2.6
MYL,5-Nov-19,19-Sep,$1.14 ,$1.17 ,0.03,2.6
WM,23-Oct-19,19-Sep,$1.16 ,$1.19 ,0.03,2.5
GPN,31-Oct-19,19-Sep,$1.66 ,$1.70 ,0.04,2.4
WRK,7-Nov-19,19-Sep,$1.21 ,$1.24 ,0.03,2.4
DGX,22-Oct-19,19-Sep,$1.72 ,$1.76 ,0.04,2.3
MDT,19-Nov-19,19-Oct,$1.28 ,$1.31 ,0.03,2.3
CB,29-Oct-19,19-Sep,$2.64 ,$2.70 ,0.06,2.2
DAL,10-Oct-19,19-Sep,$2.27 ,$2.32 ,0.05,2.2
EXPD,5-Nov-19,19-Sep,$0.90 ,$0.92 ,0.02,2.2
KMB,22-Oct-19,19-Sep,$1.80 ,$1.84 ,0.04,2.2
KEY,17-Oct-19,19-Sep,$0.47 ,$0.48 ,0.01,2.1
LH,24-Oct-19,19-Sep,$2.84 ,$2.90 ,0.06,2.1
XLNX,23-Oct-19,19-Sep,$0.92 ,$0.94 ,0.02,2.1
AMT,31-Oct-19,19-Sep,$1.96 ,$2.00 ,0.04,2
ATO,6-Nov-19,19-Sep,$0.48 ,$0.49 ,0.01,2
CFG,18-Oct-19,19-Sep,$0.96 ,$0.98 ,0.02,2
GPC,17-Oct-19,19-Sep,$1.47 ,$1.50 ,0.03,2
IPG,22-Oct-19,19-Sep,$0.48 ,$0.49 ,0.01,2
TMO,23-Oct-19,19-Sep,$2.88 ,$2.94 ,0.06,2
ABC,7-Nov-19,19-Sep,$1.58 ,$1.61 ,0.03,1.9
IQV,30-Oct-19,19-Sep,$1.57 ,$1.60 ,0.03,1.9
MNST,7-Nov-19,19-Sep,$0.54 ,$0.55 ,0.01,1.8
ABBV,1-Nov-19,19-Sep,$2.29 ,$2.33 ,0.04,1.7
ACN,26-Sep-19,19-Aug,$1.71 ,$1.74 ,0.03,1.7
D,1-Nov-19,19-Sep,$1.16 ,$1.18 ,0.02,1.7
FLIR,31-Oct-19,19-Sep,$0.58 ,$0.59 ,0.01,1.7
SNPS,4-Dec-19,19-Oct,$1.13 ,$1.15 ,0.02,1.7
FLT,6-Nov-19,19-Sep,$3.05 ,$3.10 ,0.05,1.6
CERN,24-Oct-19,19-Sep,$0.65 ,$0.66 ,0.01,1.5
FFIV,23-Oct-19,19-Sep,$2.55 ,$2.59 ,0.04,1.5
IBM,16-Oct-19,19-Sep,$2.64 ,$2.68 ,0.04,1.5
OMC,15-Oct-19,19-Sep,$1.30 ,$1.32 ,0.02,1.5
SEE,6-Nov-19,19-Sep,$0.63 ,$0.64 ,0.01,1.5
TEL,30-Oct-19,19-Sep,$1.31 ,$1.33 ,0.02,1.5
AAP,12-Nov-19,19-Sep,$2.07 ,$2.10 ,0.03,1.4
AON,25-Oct-19,19-Sep,$1.43 ,$1.45 ,0.02,1.4
CL,1-Nov-19,19-Sep,$0.70 ,$0.71 ,0.01,1.4
DRI,19-Sep-19,19-Aug,$1.36 ,$1.38 ,0.02,1.4
MKTX,23-Oct-19,19-Sep,$1.40 ,$1.42 ,0.02,1.4
WBA,28-Oct-19,19-Aug,$1.41 ,$1.43 ,0.02,1.4
SWKS,12-Nov-19,19-Sep,$1.50 ,$1.52 ,0.02,1.3
TAP,30-Oct-19,19-Sep,$1.46 ,$1.48 ,0.02,1.3
WEC,6-Nov-19,19-Sep,$0.73 ,$0.74 ,0.01,1.3
AJG,24-Oct-19,19-Sep,$0.79 ,$0.80 ,0.01,1.2
BXP,29-Oct-19,19-Sep,$1.62 ,$1.64 ,0.02,1.2
CBRE,6-Nov-19,19-Sep,$0.78 ,$0.79 ,0.01,1.2
CE,21-Oct-19,19-Sep,$2.50 ,$2.53 ,0.03,1.2
SLG,16-Oct-19,19-Sep,$1.73 ,$1.75 ,0.02,1.1
BKNG,7-Nov-19,19-Sep,$44.87 ,$45.36 ,0.49,1
C,15-Oct-19,19-Sep,$1.96 ,$1.98 ,0.02,1
CMA,16-Oct-19,19-Sep,$1.91 ,$1.93 ,0.02,1
CNC,22-Oct-19,19-Sep,$0.95 ,$0.96 ,0.01,1
DD,31-Oct-19,19-Sep,$0.95 ,$0.96 ,0.01,1
MTD,7-Nov-19,19-Sep,$5.71 ,$5.77 ,0.06,1
PKG,23-Oct-19,19-Sep,$1.90 ,$1.92 ,0.02,1
SYY,4-Nov-19,19-Sep,$0.97 ,$0.98 ,0.01,1
